ItemNumber	WordNumber	WordFromItem	Type	Region	NumberInRegion
0	0	The	critical_g	d1	1
0	1	NOUN	critical_g	n1	1
0	2	that	critical_g	that	1
0	3	the	critical_g	n2	1
0	4	principal	critical_g	n2	2
0	5	who	critical_g	who	1
0	6	the	critical_g	n3	1
0	7	teacher	critical_g	n3	2
0	8	liked	critical_g	v3	1
0	9	was	critical_g	v2	1
0	10	fired	critical_g	v2	2
0	11	was	critical_g	v1	1
0	12	quoted	critical_g	v1	2
0	13	in	critical_g	v1	3
0	14	the	critical_g	v1	4
0	15	newspaper.	critical_g	v1	5
0	0	The	critical_u	d1	1
0	1	NOUN	critical_u	n1	1
0	2	that	critical_u	that	1
0	3	the	critical_u	n2	1
0	4	principal	critical_u	n2	2
0	5	who	critical_u	who	1
0	6	the	critical_u	n3	1
0	7	teacher	critical_u	n3	2
0	8	liked	critical_u	v3	1
0	9	was	critical_u	v1	1
0	10	quoted	critical_u	v1	2
0	11	in	critical_u	v1	3
0	12	the	critical_u	v1	4
0	13	newspaper.	critical_u	v1	5
1	0	The	critical_g	d1	1
1	1	NOUN	critical_g	n1	1
1	2	that	critical_g	that	1
1	3	the	critical_g	n2	1
1	4	sculptor	critical_g	n2	2
1	5	who	critical_g	who	1
1	6	the	critical_g	n3	1
1	7	painter	critical_g	n3	2
1	8	admired	critical_g	v3	1
1	9	wasn't	critical_g	v2	1
1	10	talented	critical_g	v2	2
1	11	was	critical_g	v1	1
1	12	completely	critical_g	v1	2
1	13	untrue.	critical_g	v1	3
1	0	The	critical_u	d1	1
1	1	NOUN	critical_u	n1	1
1	2	that	critical_u	that	1
1	3	the	critical_u	n2	1
1	4	sculptor	critical_u	n2	2
1	5	who	critical_u	who	1
1	6	the	critical_u	n3	1
1	7	painter	critical_u	n3	2
1	8	admired	critical_u	v3	1
1	9	was	critical_u	v1	1
1	10	completely	critical_u	v1	2
1	11	untrue.	critical_u	v1	3
2	0	The	critical_g	d1	1
2	1	NOUN	critical_g	n1	1
2	2	that	critical_g	that	1
2	3	the	critical_g	n2	1
2	4	consultant	critical_g	n2	2
2	5	who	critical_g	who	1
2	6	the	critical_g	n3	1
2	7	artist	critical_g	n3	2
2	8	hired	critical_g	v3	1
2	9	was	critical_g	v2	1
2	10	a	critical_g	v2	2
2	11	fraud	critical_g	v2	3
2	12	shocked	critical_g	v1	1
2	13	everyone.	critical_g	v1	2
2	0	The	critical_u	d1	1
2	1	NOUN	critical_u	n1	1
2	2	that	critical_u	that	1
2	3	the	critical_u	n2	1
2	4	consultant	critical_u	n2	2
2	5	who	critical_u	who	1
2	6	the	critical_u	n3	1
2	7	artist	critical_u	n3	2
2	8	hired	critical_u	v3	1
2	9	shocked	critical_u	v1	1
2	10	everyone.	critical_u	v1	2
3	0	The	critical_g	d1	1
3	1	NOUN	critical_g	n1	1
3	2	that	critical_g	that	1
3	3	the	critical_g	n2	1
3	4	runner	critical_g	n2	2
3	5	who	critical_g	who	1
3	6	the	critical_g	n3	1
3	7	psychiatrist	critical_g	n3	2
3	8	treated	critical_g	v3	1
3	9	was	critical_g	v2	1
3	10	doping	critical_g	v2	2
3	11	was	critical_g	v1	1
3	12	ridiculous.	critical_g	v1	2
3	0	The	critical_u	d1	1
3	1	NOUN	critical_u	n1	1
3	2	that	critical_u	that	1
3	3	the	critical_u	n2	1
3	4	runner	critical_u	n2	2
3	5	who	critical_u	who	1
3	6	the	critical_u	n3	1
3	7	psychiatrist	critical_u	n3	2
3	8	treated	critical_u	v3	1
3	9	was	critical_u	v1	1
3	10	ridiculous.	critical_u	v1	2
4	0	The	critical_g	d1	1
4	1	NOUN	critical_g	n1	1
4	2	that	critical_g	that	1
4	3	the	critical_g	n2	1
4	4	child	critical_g	n2	2
4	5	who	critical_g	who	1
4	6	the	critical_g	n3	1
4	7	medic	critical_g	n3	2
4	8	rescued	critical_g	v3	1
4	9	was	critical_g	v2	1
4	10	unharmed	critical_g	v2	2
4	11	relieved	critical_g	v1	1
4	12	everyone.	critical_g	v1	2
4	0	The	critical_u	d1	1
4	1	NOUN	critical_u	n1	1
4	2	that	critical_u	that	1
4	3	the	critical_u	n2	1
4	4	child	critical_u	n2	2
4	5	who	critical_u	who	1
4	6	the	critical_u	n3	1
4	7	medic	critical_u	n3	2
4	8	rescued	critical_u	v3	1
4	9	relieved	critical_u	v1	1
4	10	everyone.	critical_u	v1	2
5	0	The	critical_g	d1	1
5	1	NOUN	critical_g	n1	1
5	2	that	critical_g	that	1
5	3	the	critical_g	n2	1
5	4	criminal	critical_g	n2	2
5	5	who	critical_g	who	1
5	6	the	critical_g	n3	1
5	7	officer	critical_g	n3	2
5	8	arrested	critical_g	v3	1
5	9	was	critical_g	v2	1
5	10	guilty	critical_g	v2	2
5	11	was	critical_g	v1	1
5	12	entirely	critical_g	v1	2
5	13	bogus.	critical_g	v1	3
5	0	The	critical_u	d1	1
5	1	NOUN	critical_u	n1	1
5	2	that	critical_u	that	1
5	3	the	critical_u	n2	1
5	4	criminal	critical_u	n2	2
5	5	who	critical_u	who	1
5	6	the	critical_u	n3	1
5	7	officer	critical_u	n3	2
5	8	arrested	critical_u	v3	1
5	9	was	critical_u	v1	1
5	10	entirely	critical_u	v1	2
5	11	bogus.	critical_u	v1	3
6	0	The	critical_g	d1	1
6	1	NOUN	critical_g	n1	1
6	2	that	critical_g	that	1
6	3	the	critical_g	n2	1
6	4	student	critical_g	n2	2
