TimeResultsWereReceived	MD5HashOfParticipantsIPAddress	ControllerName	ItemNumber	ElementNumber	Type	Group	WordNumber	Word	Alternative	WordOn	Correct	ReadingTimeToFirstAnswer	Sentence	TotalTimeToCorrectAnswer
1586864104	0	Maze	106	0	practice	104	0	The	x-x-x	0	yes	2119	The therapist set up a meeting with the upset woman and her husband yesterday.	2119
1586864104	0	Maze	106	0	practice	104	1	therapist	forestall	1	yes	4041	The therapist set up a meeting with the upset woman and her husband yesterday.	4041
1586864104	0	Maze	106	0	practice	104	2	set	ten	0	yes	1734	The therapist set up a meeting with the upset woman and her husband yesterday.	1734
1586864104	0	Maze	106	0	practice	104	3	up	sit	1	yes	1416	The therapist set up a meeting with the upset woman and her husband yesterday.	1416
1586864104	0	Maze	106	0	practice	104	4	a	sum	0	yes	1262	The therapist set up a meeting with the upset woman and her husband yesterday.	1262
1586864104	0	Maze	106	0	practice	104	5	meeting	absence	0	yes	1773	The therapist set up a meeting with the upset woman and her husband yesterday.	1773
1586864104	0	Maze	106	0	practice	104	6	with	wave	0	yes	1232	The therapist set up a meeting with the upset woman and her husband yesterday.	1232
1586864104	0	Maze	106	0	practice	104	7	the	ran	1	yes	1171	The therapist set up a meeting with the upset woman and her husband yesterday.	1171
1586864104	0	Maze	106	0	practice	104	8	upset	keeps	0	yes	5718	The therapist set up a meeting with the upset woman and her husband yesterday.	5718
1586864104	0	Maze	106	0	practice	104	9	woman	exist	0	yes	1303	The therapist set up a meeting with the upset woman and her husband yesterday.	1303
1586864104	0	Maze	106	0	practice	104	10	and	dry	0	yes	1517	The therapist set up a meeting with the upset woman and her husband yesterday.	1517
1586864104	0	Maze	106	0	practice	104	11	her	sum	1	yes	3189	The therapist set up a meeting with the upset woman and her husband yesterday.	3189
1586864104	0	Maze	106	0	practice	104	12	husband	settled	0	yes	1171	The therapist set up a meeting with the upset woman and her husband yesterday.	1171
1586864104	0	Maze	106	0	practice	104	13	yesterday.	remainder.	1	yes	1224	The therapist set up a meeting with the upset woman and her husband yesterday.	1224
1586864104	0	Maze	105	0	practice	105	0	The	x-x-x	0	yes	904	The reporter had dinner yesterday with the baseball player who Kevin admired.	904
1586864104	0	Maze	105	0	practice	105	1	reporter	quantify	0	yes	1835	The reporter had dinner yesterday with the baseball player who Kevin admired.	1835
1586864104	0	Maze	105	0	practice	105	2	had	joy	1	yes	999	The reporter had dinner yesterday with the baseball player who Kevin admired.	999
1586864104	0	Maze	105	0	practice	105	3	dinner	reduce	0	yes	1262	The reporter had dinner yesterday with the baseball player who Kevin admired.	1262
1586864104	0	Maze	105	0	practice	105	4	yesterday	organisms	0	yes	2192	The reporter had dinner yesterday with the baseball player who Kevin admired.	2192
1586864104	0	Maze	105	0	practice	105	5	with	rise	0	yes	1080	The reporter had dinner yesterday with the baseball player who Kevin admired.	1080
1586864104	0	Maze	105	0	practice	105	6	the	sum	1	yes	1303	The reporter had dinner yesterday with the baseball player who Kevin admired.	1303
1586864104	0	Maze	105	0	practice	105	7	baseball	attained	0	yes	3474	The reporter had dinner yesterday with the baseball player who Kevin admired.	3474
1586864104	0	Maze	105	0	practice	105	8	player	tended	1	yes	1366	The reporter had dinner yesterday with the baseball player who Kevin admired.	1366
1586864104	0	Maze	105	0	practice	105	9	who	sin	0	yes	1060	The reporter had dinner yesterday with the baseball player who Kevin admired.	1060
1586864104	0	Maze	105	0	practice	105	10	Kevin	Troop	0	yes	3963	The reporter had dinner yesterday with the baseball player who Kevin admired.	3963
1586864104	0	Maze	105	0	practice	105	11	admired.	flowing.	0	yes	2200	The reporter had dinner yesterday with the baseball player who Kevin admired.	2200
1586864104	0	Maze	104	0	practice	107	0	The	x-x-x	0	yes	1444	The mother of the prisoner sent him packages that contained cookies and novels.	1444
1586864104	0	Maze	104	0	practice	107	1	mother	defraud	0	yes	1345	The mother of the prisoner sent him packages that contained cookies and novels.	1345
1586864104	0	Maze	104	0	practice	107	2	of	dry	1	yes	1151	The mother of the prisoner sent him packages that contained cookies and novels.	1151
1586864104	0	Maze	104	0	practice	107	3	the	arm	0	yes	866	The mother of the prisoner sent him packages that contained cookies and novels.	866
1586864104	0	Maze	104	0	practice	107	4	prisoner	amounted	1	yes	1293	The mother of the prisoner sent him packages that contained cookies and novels.	1293
1586864104	0	Maze	104	0	practice	107	5	sent	rare	1	yes	1151	The mother of the prisoner sent him packages that contained cookies and novels.	1151
1586864104	0	Maze	104	0	practice	107	6	him	nor	1	yes	1071	The mother of the prisoner sent him packages that contained cookies and novels.	1071
1586864104	0	Maze	104	0	practice	107	7	packages	rhythmic	1	yes	1172	The mother of the prisoner sent him packages that contained cookies and novels.	1172
1586864104	0	Maze	104	0	practice	107	8	that	fund	0	yes	2222	The mother of the prisoner sent him packages that contained cookies and novels.	2222
1586864104	0	Maze	104	0	practice	107	9	contained	authority	0	yes	1202	The mother of the prisoner sent him packages that contained cookies and novels.	1202
1586864104	0	Maze	104	0	practice	107	10	cookies	blossom	0	yes	2038	The mother of the prisoner sent him packages that contained cookies and novels.	2038
1586864104	0	Maze	104	0	practice	107	11	and	me	0	yes	753	The mother of the prisoner sent him packages that contained cookies and novels.	753
1586864104	0	Maze	104	0	practice	107	12	novels.	defect.	1	yes	1987	The mother of the prisoner sent him packages that contained cookies and novels.	1987
1586864104	0	Maze	103	0	practice	108	0	The	x-x-x	0	yes	863	The semester will start next week%2C but the students and teachers are not ready.	863
1586864104	0	Maze	103	0	practice	108	1	semester	thrives	0	yes	1653	The semester will start next week%2C but the students and teachers are not ready.	1653
1586864104	0	Maze	103	0	practice	108	2	will	anti	0	yes	1080	The semester will start next week%2C but the students and teachers are not ready.	1080
1586864104	0	Maze	103	0	practice	108	3	start	wages	0	yes	1029	The semester will start next week%2C but the students and teachers are not ready.	1029
1586864104	0	Maze	103	0	practice	108	4	next	body	0	yes	1253	The semester will start next week%2C but the students and teachers are not ready.	1253
1586864104	0	Maze	103	0	practice	108	5	week%2C	sold%2C	1	yes	704	The semester will start next week%2C but the students and teachers are not ready.	704
1586864104	0	Maze	103	0	practice	108	6	but	sin	0	yes	877	The semester will start next week%2C but the students and teachers are not ready.	877
1586864104	0	Maze	103	0	practice	108	7	the	sky	1	yes	744	The semester will start next week%2C but the students and teachers are not ready.	744
1586864104	0	Maze	103	0	practice	108	8	students	entitled	1	yes	1111	The semester will start next week%2C but the students and teachers are not ready.	1111
1586864104	0	Maze	103	0	practice	108	9	and	sky	1	yes	1305	The semester will start next week%2C but the students and teachers are not ready.	1305
1586864104	0	Maze	103	0	practice	108	10	teachers	concrete	0	yes	1354	The semester will start next week%2C but the students and teachers are not ready.	1354
1586864104	0	Maze	103	0	practice	108	11	are	oil	1	yes	817	The semester will start next week%2C but the students and teachers are not ready.	817
1586864104	0	Maze	103	0	practice	108	12	not	him	1	yes	1120	The semester will start next week%2C but the students and teachers are not ready.	1120
1586864104	0	Maze	103	0	practice	108	13	ready.	goods.	1	yes	1212	The semester will start next week%2C but the students and teachers are not ready.	1212
1586864104	0	Maze	13	0	critical_g	3	0	The	x-x-x	0	yes	814	The realization that the runner who the psychiatrist treated was doping was ridiculous.	814
1586864104	0	Maze	13	0	critical_g	3	1	realization	narrates	0	yes	5391	The realization that the runner who the psychiatrist treated was doping was ridiculous.	5391
1586864104	0	Maze	13	0	critical_g	3	2	that	pro	1	yes	3324	The realization that the runner who the psychiatrist treated was doping was ridiculous.	3324
1586864104	0	Maze	13	0	critical_g	3	3	the	buy	1	no	4260	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	4	runner	detect	1	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	5	who	holy	0	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	6	the	lord	0	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	7	psychiatrist	enthusiastic	0	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	8	treated	ongoing	0	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	9	was	sun	0	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	10	doping	bidder	0	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	11	was	cent	0	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	13	0	critical_g	3	12	ridiculous.	exhibition.	0	no	None	The realization that the runner who the psychiatrist treated was doping was ridiculous.	None
1586864104	0	Maze	49	0	filler	22	0	The	x-x-x	0	yes	1396	The showman travels to different cities every month.	1396
1586864104	0	Maze	49	0	filler	22	1	showman	citing	0	yes	2131	The showman travels to different cities every month.	2131
1586864104	0	Maze	49	0	filler	22	2	travels	terrain	0	yes	1306	The showman travels to different cities every month.	1306
1586864104	0	Maze	49	0	filler	22	3	to	hall	1	yes	1773	The showman travels to different cities every month.	1773
1586864104	0	Maze	49	0	filler	22	4	different	certainly	0	yes	1377	The showman travels to different cities every month.	1377
1586864104	0	Maze	49	0	filler	22	5	cities	listen	0	yes	1243	The showman travels to different cities every month.	1243
1586864104	0	Maze	49	0	filler	22	6	every	write	1	yes	1327	The showman travels to different cities every month.	1327
1586864104	0	Maze	49	0	filler	22	7	month.	rates.	0	yes	1051	The showman travels to different cities every month.	1051
1586864104	0	Maze	32	0	critical_u	12	0	The	x-x-x	0	yes	1588	The assumption that the commander who the president appointed troubled people.	1588
1586864104	0	Maze	32	0	critical_u	12	1	assumption	stimulates	0	yes	2072	The assumption that the commander who the president appointed troubled people.	2072
1586864104	0	Maze	32	0	critical_u	12	2	that	tax	0	yes	1712	The assumption that the commander who the president appointed troubled people.	1712
1586864104	0	Maze	32	0	critical_u	12	3	the	jack	0	no	1622	The assumption that the commander who the president appointed troubled people.	None
1586864104	0	Maze	32	0	critical_u	12	4	commander	wondering	1	no	None	The assumption that the commander who the president appointed troubled people.	None
1586864104	0	Maze	32	0	critical_u	12	5	who	hall	1	no	None	The assumption that the commander who the president appointed troubled people.	None
1586864104	0	Maze	32	0	critical_u	12	6	the	tree	0	no	None	The assumption that the commander who the president appointed troubled people.	None
1586864104	0	Maze	32	0	critical_u	12	7	president	therefore	0	no	None	The assumption that the commander who the president appointed troubled people.	None
1586864104	0	Maze	32	0	critical_u	12	8	appointed	emergency	0	no	None	The assumption that the commander who the president appointed troubled people.	None
1586864104	0	Maze	32	0	critical_u	12	9	troubled	organize	0	no	None	The assumption that the commander who the president appointed troubled people.	None
1586864104	0	Maze	32	0	critical_u	12	10	people.	listen.	0	no	None	The assumption that the commander who the president appointed troubled people.	None
1586864104	0	Maze	37	0	critical_g	15	0	The	x-x-x	0	yes	580	The story that the surgeon who the patient thanked had no degree was not a surprise.	580
1586864104	0	Maze	37	0	critical_g	15	1	story	instructs	0	yes	2315	The story that the surgeon who the patient thanked had no degree was not a surprise.	2315
1586864104	0	Maze	37	0	critical_g	15	2	that	food	0	yes	1427	The story that the surgeon who the patient thanked had no degree was not a surprise.	1427
1586864104	0	Maze	37	0	critical_g	15	3	the	lot	0	yes	2449	The story that the surgeon who the patient thanked had no degree was not a surprise.	2449
1586864104	0	Maze	37	0	critical_g	15	4	surgeon	extends	0	yes	1498	The story that the surgeon who the patient thanked had no degree was not a surprise.	1498
1586864104	0	Maze	37	0	critical_g	15	5	who	hot	1	yes	1112	The story that the surgeon who the patient thanked had no degree was not a surprise.	1112
1586864104	0	Maze	37	0	critical_g	15	6	the	lake	1	yes	1580	The story that the surgeon who the patient thanked had no degree was not a surprise.	1580
1586864104	0	Maze	37	0	critical_g	15	7	patient	selling	1	yes	989	The story that the surgeon who the patient thanked had no degree was not a surprise.	989
1586864104	0	Maze	37	0	critical_g	15	8	thanked	leaking	0	yes	2811	The story that the surgeon who the patient thanked had no degree was not a surprise.	2811
1586864104	0	Maze	37	0	critical_g	15	9	had	fear	0	yes	2157	The story that the surgeon who the patient thanked had no degree was not a surprise.	2157
1586864104	0	Maze	37	0	critical_g	15	10	no	vote	0	yes	1691	The story that the surgeon who the patient thanked had no degree was not a surprise.	1691
1586864104	0	Maze	37	0	critical_g	15	11	degree	remain	1	yes	1307	The story that the surgeon who the patient thanked had no degree was not a surprise.	1307
1586864104	0	Maze	37	0	critical_g	15	12	was	ball	0	yes	1052	The story that the surgeon who the patient thanked had no degree was not a surprise.	1052
1586864104	0	Maze	37	0	critical_g	15	13	not	walk	0	yes	1313	The story that the surgeon who the patient thanked had no degree was not a surprise.	1313
1586864104	0	Maze	37	0	critical_g	15	14	a	sun	0	yes	1347	The story that the surgeon who the patient thanked had no degree was not a surprise.	1347
1586864104	0	Maze	37	0	critical_g	15	15	surprise.	sections.	0	yes	1572	The story that the surgeon who the patient thanked had no degree was not a surprise.	1572
1586864104	0	Maze	68	0	filler	41	0	The	x-x-x	0	yes	1345	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1345
1586864104	0	Maze	68	0	filler	41	1	audience	solidly	1	yes	1275	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1275
1586864104	0	Maze	68	0	filler	41	2	who	anti	1	yes	1396	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1396
1586864104	0	Maze	68	0	filler	41	3	was	mid	1	yes	1592	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1592
1586864104	0	Maze	68	0	filler	41	4	at	sir	0	yes	1173	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1173
1586864104	0	Maze	68	0	filler	41	5	the	why	1	yes	734	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	734
1586864104	0	Maze	68	0	filler	41	6	club	me	1	yes	1746	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1746
1586864104	0	Maze	68	0	filler	41	7	booed	levee	1	yes	4713	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	4713
1586864104	0	Maze	68	0	filler	41	8	the	glad	1	yes	1621	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1621
1586864104	0	Maze	68	0	filler	41	9	singer	argued	0	yes	2235	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	2235
1586864104	0	Maze	68	0	filler	41	10	before	larger	1	yes	1041	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1041
1586864104	0	Maze	68	0	filler	41	11	the	rich	0	yes	866	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	866
1586864104	0	Maze	68	0	filler	41	12	owner	lying	1	yes	1418	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1418
1586864104	0	Maze	68	0	filler	41	13	of	east	0	yes	989	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	989
1586864104	0	Maze	68	0	filler	41	14	the	done	0	yes	1867	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1867
1586864104	0	Maze	68	0	filler	41	15	bar	yes	1	yes	1365	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1365
1586864104	0	Maze	68	0	filler	41	16	could	worse	0	yes	1225	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1225
1586864104	0	Maze	68	0	filler	41	17	remove	allows	1	yes	4302	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	4302
1586864104	0	Maze	68	0	filler	41	18	him	term	1	yes	3518	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	3518
1586864104	0	Maze	68	0	filler	41	19	from	file	0	yes	755	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	755
1586864104	0	Maze	68	0	filler	41	20	the	rose	1	yes	674	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	674
1586864104	0	Maze	68	0	filler	41	21	stage.	there.	1	yes	1121	The audience who was at the club booed the singer before the owner of the bar could remove him from the stage.	1121
1586864104	0	Maze	92	0	filler	65	0	The	x-x-x	0	yes	854	The passer-by threw the cardboard box into the trash-can with great force.	854
1586864104	0	Maze	92	0	filler	65	1	passer-by	succumbs	0	yes	5110	The passer-by threw the cardboard box into the trash-can with great force.	5110
1586864104	0	Maze	92	0	filler	65	2	threw	quiet	0	yes	1825	The passer-by threw the cardboard box into the trash-can with great force.	1825
1586864104	0	Maze	92	0	filler	65	3	the	draw	0	yes	632	The passer-by threw the cardboard box into the trash-can with great force.	632
1586864104	0	Maze	92	0	filler	65	4	cardboard	equitable	0	yes	1530	The passer-by threw the cardboard box into the trash-can with great force.	1530
1586864104	0	Maze	92	0	filler	65	5	box	his	0	yes	1386	The passer-by threw the cardboard box into the trash-can with great force.	1386
1586864104	0	Maze	92	0	filler	65	6	into	lord	0	yes	713	The passer-by threw the cardboard box into the trash-can with great force.	713
